CommonName,SystematicName
AAR2,YBL074C
ABD1,YBR236C
ABF1,YKL112W
ACC1,YNR016C
ACP1,YKL192C
ACS2,YLR153C
ACT1,YFL039C
ADE13,YLR359W
AFG2,YLR397C
ALA1,YOR335C
ALG1,YBR110W
ALG13,YGL047W
ALG14,YBR070C
ALG2,YGL065C
ALG7,YBR243C
ALR1,YOL130W
AME1,YBR211C
AMN1,YBR158W
AOS1,YPR180W
APC1,YNL172W
APC11,YDL008W
APC2,YLR127C
APC4,YDR118W
APC5,YOR249C
ARB1,YER036C
ARC15,YIL062C
ARC19,YKL013C
ARC35,YNR035C
ARC40,YBR234C
ARH1,YDR376W
ARK1,YNL020C
ARP2,YDL029W
ARP3,YJR065C
ARP4,YJL081C
ARP7,YPR034W
ARP9,YMR033W
ASA1,YPR085C
ASK1,YKL052C
ATG1,YGL180W
ATM1,YMR301C
ATP16,YDL004W
AUR1,YKL004W
AVO1,YOL078W
BBP1,YPL255W
BCD1,YHR040W
BCP1,YDR361C
BDP1,YNL039W
BET1,YIL004C
BET2,YPR176C
BET3,YKR068C
BET4,YJL031C
BET5,YML077W
BFR2,YDR299W
BIG1,YHR101C
BIM1,YER016W
BMS1,YPL217C
BOS1,YLR078C
BPL1,YDL141W
BRF1,YGR246C
BRL1,YHR036W
BRN1,YBL097W
BRR2,YER172C
BRR6,YGL247W
BRX1,YOL077C
BUR6,YER159C
CAB1,YDR531W
CAB2,YIL083C
CAB3,YKL088W
CAB4,YGR277C
CAB5,YDR196C
CAK1,YFL029C
CBF2,YGR140W
CBF5,YLR175W
CBK1,YNL161W
CCA1,YER168C
CCC1,YLR220W
CCL1,YPR025C
CCT2,YIL142W
CCT3,YJL014W
CCT4,YDL143W
CCT5,YJR064W
CCT6,YDR188W
CCT7,YJL111W
CCT8,YJL008C
CDC1,YDR182W
CDC11,YJR076C
CDC12,YHR107C
CDC123,YLR215C
CDC13,YDL220C
CDC14,YFR028C
CDC15,YAR019C
CDC16,YKL022C
CDC19,YAL038W
CDC20,YGL116W
CDC21,YOR074C
CDC23,YHR166C
CDC24,YAL041W
CDC25,YLR310C
CDC27,YBL084C
CDC28,YBR160W
CDC3,YLR314C
CDC31,YOR257W
CDC33,YOL139C
CDC34,YDR054C
CDC36,YDL165W
CDC37,YDR168W
CDC39,YCR093W
CDC4,YFL009W
CDC42,YLR229C
CDC43,YGL155W
CDC45,YLR103C
CDC48,YDL126C
CDC5,YMR001C
CDC53,YDL132W
CDC6,YJL194W
CDC60,YPL160W
CDC7,YDL017W
CDC8,YJR057W
CDC9,YDL164C
CDS1,YBR029C
CEF1,YMR213W
CEG1,YGL130W
CEP3,YMR168C
CET1,YPL228W
CFD1,YIL003W
CFT1,YDR301W
CFT2,YLR115W
CHS2,YBR038W
CIA1,YDR267C
CIK1,YMR198W
CKS1,YBR135W
CLB3,YDL155W
CLB5,YPR120C
CLF1,YLR117C
CLP1,YOR250C
CMD1,YBR109C
CNS1,YBR155W
COF1,YLL050C
COG2,YGR120C
COG3,YER157W
COG4,YPR105C
COP1,YDL145C
COX20,YDR231C
COX9,YDL067C
CRM1,YGR218W
CSE1,YGL238W
CSE4,YKL049C
CSL4,YNL232W
CTF13,YMR094W
CTH1,YDR151C
CTR1,YPR124W
CTR86,YCR054C
CUP2,YGL166W
CUS1,YMR240C
CWC2,YDL209C
CWC22,YGR278W
CWC23,YGL128C
CWC24,YLR323C
CWC25,YNL245C
CYR1,YJL005W
DAD1,YDR016C
DAD2,YKR083C
DAD3,YBR233W-A
DAM1,YGR113W
DBF20,YPR111W
DBF4,YDR052C
DBP10,YDL031W
DBP2,YNL112W
DBP5,YOR046C
DBP6,YNR038W
DBP9,YLR276C
DCP1,YOL149W
DCP2,YNL118C
DED1,YOR204W
DED81,YHR019C
DFR1,YOR236W
DHR2,YKL078W
DIB1,YPR082C
DIM1,YPL266W
DIP2,YLR129W
DIS3,YOL021C
DJP1,YIR004W
DML1,YMR211W
DNA2,YHR164C
DOP1,YDR141C
DPB11,YJL090C
DPB2,YPR175W
DPM1,YPR183W
DPS1,YLL018C
DRE2,YKR071C
DRS1,YLL008W
DSL1,YNL258C
DSN1,YIR010W
DUO1,YGL061C
DUT1,YBR252W
DYS1,YHR068W
EBP2,YKL172W
ECM16,YMR128W
ECM9,YKR004C
ECO1,YFR027W
EFB1,YAL003W
EMG1,YLR186W
ENP1,YBR247C
ENP2,YGR145W
EPL1,YFL024C
ERB1,YMR049C
ERD2,YBL040C
ERG1,YGR175C
ERG10,YPL028W
ERG11,YHR007C
ERG12,YMR208W
ERG13,YML126C
ERG20,YJL167W
ERG25,YGR060W
ERG26,YGL001C
ERG27,YLR100W
ERG29,YMR134W
ERG7,YHR072W
ERG8,YMR220W
ERG9,YHR190W
ERO1,YML130C
ERV1,YGR029W
ESA1,YOR244W
ESF1,YDR365C
ESF2,YNR054C
ESP1,YGR098C
ESS1,YJR017C
EXO70,YJL085W
EXO84,YBR102C
FAD1,YDL045C
FAF1,YIL019W
FAL1,YDR021W
FAP7,YDL166C
FAR1,YJL157C
FAS1,YKL182W
FAS2,YPL231W
FBA1,YKL060C
FCF1,YDR339C
FCF2,YLR051C
FCP1,YMR277W
FCY21,YER060W
FHL1,YPR104C
FIP1,YJR093C
FMN1,YDR236C
FOL1,YNL256W
FOL2,YGR267C
FOL3,YMR113W
FRQ1,YDR373W
FRS1,YLR060W
FRS2,YFL022C
FSF1,YOR271C
GAA1,YLR088W
GAB1,YLR459W
GAT3,YLR013W
GCD1,YOR260W
GCD10,YNL062C
GCD11,YER025W
GCD14,YJL125C
GCD2,YGR083C
GCD6,YDR211W
GCD7,YLR291C
GCR1,YPL075W
GDI1,YER136W
GFA1,YKL104C
GIP3,YPL137C
GLC7,YER133W
GLE1,YDL207W
GLN1,YPR035W
GLN4,YOR168W
GNA1,YFL017C
GPI1,YGR216C
GPI10,YGL142C
GPI11,YDR302W
GPI12,YMR281W
GPI13,YLL031C
GPI14,YJR013W
GPI15,YNL038W
GPI16,YHR188C
GPI17,YDR434W
GPI18,YBR004C
GPI19,YDR437W
GPI2,YPL076W
GPI8,YDR331W
GPM1,YKL152C
GRC3,YLL035W
GRS1,YBR121C
GUK1,YDR454C
GUS1,YGL245W
GWT1,YJL091C
HAS1,YMR290C
HCA4,YJL033W
HEM1,YDR232W
HEM12,YDR047W
HEM13,YDR044W
HEM15,YOR176W
HEM2,YGL040C
HEM3,YDL205C
HEM4,YOR278W
HHF1,YBR009C
HIP1,YGR191W
HMLALPHA2,YCL067C
HMRA2,YCR096C
HOF1,YMR032W
HRP1,YOL123W
HRR25,YPL204W
HRT1,YOL133W
HRT3,YLR097C
HSF1,YGL073W
HSH155,YMR288W
HSH49,YOR319W
HSK3,YKL138C-A
HSL1,YKL101W
HSP10,YOR020C
HSP60,YLR259C
HTA2,YBL003C
HTB1,YDR224C
HTS1,YPR033C
HYM1,YKL189W
HYP2,YEL034W
IDI1,YPL117C
IFH1,YLR223C
ILS1,YBL076C
ILV3,YJR016C
ILV5,YLR355C
IMP3,YHR148W
IMP4,YNL075W
INN1,YNL152W
INO2,YDR123C
INO80,YGL150C
IPI1,YHR085W
IPI3,YNL182C
IPL1,YPL209C
IPP1,YBR011C
IQG1,YPL242C
IRA1,YBR140C
IRR1,YIL026C
ISD11,YER048W-A
ITT1,YML068W
JAC1,YGL018C
JIP5,YPR169W
KAE1,YKR038C
KAP95,YLR347C
KAR1,YNL188W
KAR2,YJL034W
KEG1,YFR042W
KEI1,YDR367W
KIN28,YDL108W
KIN4,YOR233W
KOG1,YHR186C
KRE29,YER038C
KRE33,YNL132W
KRE5,YOR336W
KRE9,YJL174W
KRI1,YNL308C
KRR1,YCL059C
KRS1,YDR037W
KSP1,YHR082C
LAS1,YKR063C
LAS17,YOR181W
LCB1,YMR296C
LCB2,YDR062W
LCD1,YDR499W
LCP5,YER127W
LIP1,YMR298W
LOS1,YKL205W
LSC2,YGR244C
LSG1,YGL099W
LSM2,YBL026W
LSM3,YLR438C-A
LSM4,YER112W
LSM5,YER146W
LSM8,YJR022W
LST8,YNL006W
LUC7,YDL087C
MAK11,YKL021C
MAK16,YAL025C
MAK21,YDR060W
MAK5,YBR142W
MAM1,YER106W
MAS1,YLR163C
MAS2,YHR024C
MATALPHA2,YCR039C
MCD1,YDL003W
MCD4,YKL165C
MCM1,YMR043W
MCM10,YIL150C
MCM2,YBL023C
MCM3,YEL032W
MCM4,YPR019W
MCM5,YLR274W
MCM6,YGL201C
MCM7,YBR202W
MDN1,YLR106C
MEC1,YBR136W
MED11,YMR112C
MED4,YOR174W
MED6,YHR058C
MED7,YOL135C
MED8,YBR193C
MES1,YGR264C
MET30,YIL046W
MET4,YNL103W
MEX67,YPL169C
MGE1,YOR232W
MIA40,YKL195W
MIF2,YKL089W
MIM1,YOL026C
MMF1,YIL051C
MMS21,YEL019C
MNP1,YGL068W
MOB1,YIL106W
MOB2,YFL034C-B
MOT1,YPL082C
MOT3,YMR070W
MPE1,YKL059C
MPP10,YJR002W
MPS1,YDL028C
MPS2,YGL075C
MPS3,YJL019W
MRD1,YPR112C
MRPS18,YNL306W
MRS6,YOR370C
MSC1,YML128C
MSL5,YLR116W
MSS11,YMR164C
MSS4,YDR208W
MTC1,YJL123C
MTR10,YOR160W
MTR2,YKL186C
MTR3,YGR158C
MTR4,YJL050W
MTW1,YAL034W-A
MVD1,YNR043W
MYO1,YHR023W
MYO2,YOR326W
NAB2,YGL122C
NAB3,YPL190C
NAF1,YNL124W
NAM8,YHR086W
NAM9,YNL137C
NAN1,YPL126W
NAR1,YNL240C
NAT2,YGR147C
NBP1,YLR457C
NBP35,YGL091C
NCB2,YDR397C
NCP1,YHR042W
NDC1,YML031W
NDD1,YOR372C
NEO1,YIL048W
NET1,YJL076W
NFS1,YCL017C
NHP2,YDL208W
NIC96,YFR002W
NIP1,YMR309C
NIP7,YPL211W
NMD3,YHR170W
NMT1,YLR195C
NNF1,YJR112W
NOB1,YOR056C
NOC2,YOR206W
NOC3,YLR002C
NOC4,YPR144C
NOG1,YPL093W
NOG2,YNR053C
NOP1,YDL014W
NOP10,YHR072W-A
NOP14,YDL148C
NOP15,YNL110C
NOP2,YNL061W
NOP4,YPL043W
NOP53,YPL146C
NOP56/SIK1,NOP56/SIK1
NOP58,YOR310C
NOP7,YGR103W
NOP8,YOL144W
NOP9,YJL010C
NPA3,YJR072C
NRD1,YNL251C
NSA1,YGL111W
NSA2,YER126C
NSE1,YLR007W
NSE3,YDR288W
NSE4,YDL105W
NSE5,YML023C
NSL1,YPL233W
NSP1,YJL041W
NTF2,YER009W
NTR2,YKR022C
NUD1,YOR373W
NUF2,YOL069W
NUG1,YER006W
NUP1,YOR098C
NUP116,YMR047C
NUP145,YGL092W
NUP159,YIL115C
NUP192,YJL039C
NUP49,YGL172W
NUP57,YGR119C
NUP82,YJL061W
NUP85,YJR042W
NUS1,YDL193W
NUT2,YPR168W
OKP1,YGR179C
OLE1,YGL055W
ORC1,YML065W
ORC2,YBR060C
ORC3,YLL004W
ORC4,YPR162C
ORC5,YNL261W
ORC6,YHR118C
OST1,YJL002C
OST2,YOR103C
PAB1,YER165W
PAM16,YJL104W
PAM18,YLR008C
PAN1,YIR006C
PAP1,YKR002W
PAU12,YGR294W
PBN1,YCL052C
PCF11,YDR228C
PCM1,YEL058W
PDC2,YDR081C
PDI1,YCL043C
PDS1,YDR113C
PDS5,YMR076C
PET9,YBL030C
PFS2,YNL317W
PFY1,YOR122C
PGA1,YNL158W
PGA2,YNL149C
PGA3,YML125C
PGI1,YBR196C
PGK1,YCR012W
PGS1,YCL004W
PHS1,YJL097W
PIK1,YNL267W
PIS1,YPR113W
PKC1,YBL105C
PLP2,YOR281C
PMA1,YGL008C
PMI40,YER003C
POB3,YML069W
POL1,YNL102W
POL12,YBL035C
POL2,YNL262W
POL3,YDL102W
POL30,YBR088C
POL31,YJR006W
POL5,YEL055C
POP1,YNL221C
POP3,YNL282W
POP4,YBR257W
POP5,YAL033W
POP6,YGR030C
POP7,YBR167C
POP8,YBL018C
PRE1,YER012W
PRE10,YOR362C
PRE2,YPR103W
PRE3,YJL001W
PRE4,YFR050C
PRE5,YMR314W
PRE6,YOL038W
PRE7,YBL041W
PRE8,YML092C
PRI1,YIR008C
PRI2,YKL045W
PRO3,YER023W
PRP11,YDL043C
PRP16,YKR086W
PRP19,YLL036C
PRP2,YNR011C
PRP21,YJL203W
PRP22,YER013W
PRP24,YMR268C
PRP28,YDR243C
PRP3,YDR473C
PRP31,YGR091W
PRP38,YGR075C
PRP39,YML046W
PRP4,YPR178W
PRP40,YKL012W
PRP42,YDR235W
PRP43,YGL120C
PRP45,YAL032C
PRP46,YPL151C
PRP5,YBR237W
PRP6,YBR055C
PRP9,YDL030W
PRT1,YOR361C
PSA1,YDL055C
PSE1,YMR308C
PSF1,YDR013W
PSF2,YJL072C
PSF3,YOL146W
PSP1,YDR505C
PTA1,YAL043C
PTI1,YGR156W
PTR3,YFR029W
PUF4,YGL014W
PUP1,YOR157C
PUP2,YGR253C
PUP3,YER094C
PWP1,YLR196W
PWP2,YCR057C
PXR1,YGR280C
PZF1,YPR186C
QNS1,YHR074W
QRI1,YDL103C
RAD3,YER171W
RAD53,YPL153C
RAM2,YKL019W
RAP1,YNL216W
RAT1,YOR048C
RBA50,YDR527W
RCL1,YOL010W
RDS3,YPR094W
REB1,YBR049C
RER2,YBR002C
RET1,YOR207C
RET2,YFR051C
RET3,YPL010W
REX2,YLR059C
RFA1,YAR007C
RFA2,YNL312W
RFA3,YJL173C
RFC1,YOR217W
RFC2,YJR068W
RFC3,YNL290W
RFC4,YOL094C
RFC5,YBR087W
RFT1,YBL020W
RGR1,YLR071C
RHO1,YPR165W
RHO3,YIL118W
RIA1,YNL163C
RIB2,YOL066C
RIB3,YDR487C
RIB5,YBR256C
RIB7,YBR153W
RIM2,YBR192W
RIO1,YOR119C
RIO2,YNL207W
RIX1,YHR197W
RIX7,YLL034C
RKI1,YOR095C
RLI1,YDR091C
RLP24,YLR009W
RLP7,YNL002C
RMP1,YLR145W
RNA1,YMR235C
RNA14,YMR061W
RNA15,YGL044C
RNR2,YJL026W
RNT1,YMR239C
ROK1,YGL171W
ROT1,YMR200W
RPA135,YPR010C
RPA190,YOR341W
RPA43,YOR340C
RPB10,YOR210W
RPB11,YOL005C
RPB2,YOR151C
RPB3,YIL021W
RPB5,YBR154C
RPB7,YDR404C
RPB8,YOR224C
RPC10,YHR143W-A
RPC11,YDR045C
RPC17,YJL011C
RPC19,YNL113W
RPC25,YKL144C
RPC31,YNL151C
RPC34,YNR003C
RPC37,YKR025W
RPC40,YPR110C
RPC53,YDL150W
RPC82,YPR190C
RPF1,YHR088W
RPF2,YKR081C
RPG1,YBR079C
RPL10,YLR075W
RPL15A,YLR029C
RPL17A,YKL180W
RPL18A,YOL120C
RPL25,YOL127W
RPL28,YGL103W
RPL3,YOR063W
RPL30,YGL030W
RPL32,YBL092W
RPL33A,YPL143W
RPL42A,YNL162W
RPL5,YPL131W
RPM2,YML091C
RPN11,YFR004W
RPN12,YFR052W
RPN2,YIL075C
RPN3,YER021W
RPN5,YDL147W
RPN6,YDL097C
RPN7,YPR108W
RPN8,YOR261C
RPN9,YDR427W
RPO21,YDL140C
RPO26,YPR187W
RPO31,YOR116C
RPP0,YLR340W
RPP1,YHR062C
RPR2,YIR015W
RPS13,YDR064W
RPS15,YOL040C
RPS2,YGL123W
RPS20,YHL015W
RPS26A,YGL189C
RPS3,YNL178W
RPS31,YLR167W
RPS5,YJR123W
RPT1,YKL145W
RPT2,YDL007W
RPT3,YDR394W
RPT4,YOR259C
RPT5,YOR117W
RPT6,YGL048C
RRB1,YMR131C
RRN11,YML043C
RRN3,YKL125W
RRN5,YLR141W
RRN6,YBL014C
RRN7,YJL025W
RRN9,YMR270C
RRP1,YDR087C
RRP12,YPL012W
RRP14,YKL082C
RRP15,YPR143W
RRP17,YDR412W
RRP3,YHR065C
RRP4,YHR069C
RRP42,YDL111C
RRP43,YCR035C
RRP45,YDR280W
RRP46,YGR095C
RRP5,YMR229C
RRP7,YCL031C
RRP9,YPR137W
RRS1,YOR294W
RSA4,YCR072C
RSC3,YDR303C
RSC4,YKR008W
RSC58,YLR033W
RSC6,YCR052W
RSC8,YFR037C
RSC9,YML127W
RSE1,YML049C
RSM10,YDR041W
RSP5,YER125W
RTN1,YDR233C
RTS2,YOR077W
RTT105,YER104W
RVB1,YDR190C
RVB2,YPL235W
SAC7,YDR389W
SAD1,YFR005C
SAH1,YER043C
SAM35,YHR083W
SAM50,YNL026W
SAR1,YPL218W
SAS10,YDL153C
SCC2,YDR180W
SCC4,YER147C
SCD5,YOR329C
SCL1,YGL011C
SCM3,YDL139C
SCO2,YBR024W
SDA1,YGR245C
SDH3,YKL141W
SDO1,YLR022C
SDS22,YKL193C
SEC1,YDR164C
SEC10,YLR166C
SEC11,YIR022W
SEC12,YNR026C
SEC13,YLR208W
SEC14,YMR079W
SEC15,YGL233W
SEC16,YPL085W
SEC17,YBL050W
SEC18,YBR080C
SEC2,YNL272C
SEC20,YDR498C
SEC21,YNL287W
SEC23,YPR181C
SEC24,YIL109C
SEC26,YDR238C
SEC27,YGL137W
SEC3,YER008C
SEC31,YDL195W
SEC39,YLR440C
SEC4,YFL005W
SEC5,YDR166C
SEC53,YFL045C
SEC59,YMR013C
SEC6,YIL068C
SEC61,YLR378C
SEC62,YPL094C
SEC63,YOR254C
SEC65,YML105C
SEC7,YDR170C
SEC8,YPR055W
SEC9,YGR009C
SED5,YLR026C
SEN1,YLR430W
SEN15,YMR059W
SEN2,YLR105C
SEN34,YAR008W
SEN54,YPL083C
SES1,YDR023W
SFB3,YHR098C
SFC1,YJR095W
SFH1,YLR321C
SFI1,YLL003W
SFP1,YLR403W
SFT1,YKL006C-A
SFT2,YBL102W
SGD1,YLR336C
SGT1,YOR057W
SGV1,YPR161C
SHQ1,YIL104C
SHR3,YDL212W
SIS1,YNL007C
SKI6,YGR195W
SKP1,YDR328C
SLD2,YKL108W
SLD3,YGL113W
SLD5,YDR489W
SLN1,YIL147C
SLU7,YDR088C
SLX5,YDL013W
SLY1,YDR189W
SMC1,YFL008W
SMC2,YFR031C
SMC3,YJL074C
SMC4,YLR086W
SMC5,YOL034W
SMD1,YGR074W
SMD2,YLR275W
SMD3,YLR147C
SME1,YOR159C
SMP3,YOR149C
SMT3,YDR510W
SMX2,YFL017W-A
SMX3,YPR182W
SNM1,YDR478W
SNP1,YIL061C
SNU114,YKL173W
SNU13,YEL026W
SNU23,YDL098C
SNU56,YDR240C
SNU71,YGR013W
SOF1,YLL011W
SOG2,YOR353C
SPB1,YCL054W
SPB4,YFL002C
SPC105,YGL093W
SPC110,YDR356W
SPC19,YDR201W
SPC24,YMR117C
SPC25,YER018C
SPC29,YPL124W
SPC3,YLR066W
SPC34,YKR037C
SPC42,YKL042W
SPC97,YHR172W
SPC98,YNL126W
SPN1,YPR133C
SPO13,YHR014W
SPP2,YOR148C
SPP381,YBR152W
SPP382,YLR424W
SPP41,YDR464W
SPT14,YPL175W
SPT15,YER148W
SPT16,YGL207W
SPT21,YMR179W
SPT5,YML010W
SPT6,YGR116W
SQT1,YIR012W
SRB4,YER022W
SRB6,YBR253W
SRB7,YDR308C
SRM1,YGL097W
SRP1,YNL189W
SRP101,YDR292C
SRP102,YKL154W
SRP14,YDL092W
SRP21,YKL122C
SRP54,YPR088C
SRP68,YPL243W
SRP72,YPL210C
SSC1,YJR045C
SSL1,YLR005W
SSL2,YIL143C
SSS1,YDR086C
SSU72,YNL222W
SSY1,YDR160W
SSY5,YJL156C
STE12,YHR084W
STH1,YIL126W
STN1,YDR082W
STP3,YLR375W
STS1,YIR011C
STT3,YGL022W
STT4,YLR305C
STU1,YBL034C
STU2,YLR045C
SUA5,YGL169W
SUA7,YPR086W
SUB2,YDL084W
SUI1,YNL244C
SUI2,YJR007W
SUI3,YPL237W
SUP35,YDR172W
SUP45,YBR143C
SWC4,YGR002C
SWD2,YKL018W
SWI1,YPL016W
SWP1,YMR149W
SYF1,YDR416W
TAD2,YJL035C
TAD3,YLR316C
TAF1,YGR274C
TAF10,YDR167W
TAF11,YML015C
TAF12,YDR145W
TAF13,YML098W
TAF3,YPL011C
TAF4,YMR005W
TAF5,YBR198C
TAF6,YGL112C
TAF7,YMR227C
TAF8,YML114C
TAF9,YMR236W
TAH11,YJR046W
TAH18,YPR048W
TAM41,YGR046W
TAO3,YIL129C
TAP42,YMR028W
TBF1,YPL128C
TCP1,YDR212W
TEL2,YGR099W
TEM1,YML064C
TEN1,YLR010C
TFA1,YKL028W
TFA2,YKR062W
TFB1,YDR311W
TFB2,YPL122C
TFB3,YDR460W
TFB4,YPR056W
TFC1,YBR123C
TFC3,YAL001C
TFC4,YGR047C
TFC6,YDR362C
TFC7,YOR110W
TFC8,YPL007C
TFG1,YGR186W
TFG2,YGR005C
THG1,YGR024C
THI80,YOR143C
THS1,YIL078W
TID3,TID3
TIF11,YMR260C
TIF34,YMR146C
TIF35,YDR429C
TIF5,YPR041W
TIF6,YPR016C
TIM10/MRS11,YHR005C-A
TIM12/MRS5,YBR091C
TIM17,YJL143W
TIM22,YDL217C
TIM23,YNR017W
TIM44,YIL022W
TIM50,YPL063W
TIM54,YJL054W
TIP20,YGL145W
TIP41,YPR040W
TLG1,YDR468C
TOA1,YOR194C
TOA2,YKL058W
TOM20,YGR082W
TOM22,YNL131W
TOM40,YMR203W
TOP2,YNL088W
TOR2,YKL203C
TPI1,YDR050C
TPK1,YJL164C
TPK2,YPL203W
TPK3,YKL166C
TPT1,YOL102C
TRE2,YOR256C
TRL1,YJL087C
TRM112,YNR046W
TRM5,YHR070W
TRR1,YDR353W
TRS120,YDR407C
TRS130,YMR218C
TRS20,YBR254C
TRS23,YDR246W
TRS31,YDR472W
TRZ1,YKR079C
TSC10,YBR265W
TSC11,YER093C
TSC13,YDL015C
TSC3,YBR058C-A
TSR1,YDL060W
TSR4,YOL022C
TTI1,YKL033W
TUB1,YML085C
TUB2,YFL037W
TUB4,YLR212C
TVP18,YMR071C
TYS1,YGR185C
TYW1,YPL207W
UBA1,YKL210W
UBA2,YDR390C
UBC1,YDR177W
UBC9,YDL064W
UFD1,YGR048W
UFE1,YOR075W
UGO1,YDR470C
UGP1,YKL035W
ULP1,YPL020C
ULP2,YIL031W
URA6,YKL024C
URB1,YKL014C
URB2,YJR041C
USE1,YGL098W
USO1,YDL058W
UTP10,YJL109C
UTP11,YKL099C
UTP13,YLR222C
UTP14,YML093W
UTP15,YMR093W
UTP18,YJL069C
UTP20,YBL004W
UTP21,YLR409C
UTP22,YGR090W
UTP23,YOR004W
UTP4,YDR324C
UTP5,YDR398W
UTP6,YDR449C
UTP7,YER082C
UTP8,YGR128C
UTP9,YHR196W
UTR5,YEL035C
VAM3,YOR106W
VAS1,YGR094W
VHT1,YGR065C
VRG4,YGL225W
VTI1,YMR197C
WBP1,YEL002C
WRS1,YOL097C
WTM2,YOR229W
YAE1,YJR067C
YAH1,YPL252C
YCG1,YDR325W
YCS4,YLR272C
YDR341C,YDR341C
YEF3,YLR249W
YFH1,YDL120W
YGR251W,YGR251W
YHC1,YLR298C
YHR020W,YHR020W
YHR122W,YHR122W
YIF1,YNL263C
YIL091C,YIL091C
YIP1,YGR172C
YJR003C,YJR003C
YJR012C,YJR012C
YJR141W,YJR141W
YJU2,YKL095W
YKT6,YKL196C
YLH47,YPR125W
YLR099W-A,YLR099W-A
YLR132C,YLR132C
YLR243W,YLR243W
YML6,YML025C
YMR185W,YMR185W
YND1,YER005W
YNL024C-A,YNL024C-A
YNL181W,YNL181W
YNL247W,YNL247W
YNL260C,YNL260C
YNL313C,YNL313C
YOR060C,YOR060C
YOR262W,YOR262W
YOR287C,YOR287C
YOS1,YER074W-A
YPD1,YDL235C
YPI1,YFR003C
YPP1,YGR198W
YPT1,YFL038C
YRA1,YDR381W
YRB1,YDR002W
YRB2,YIL063C
YSF3,YNL138W-A
YSH1,YLR277C
YTH1,YPR107C
YTM1,YOR272W
ZIM17,YNL310C
ZPR1,YGR211W
